a,b,country_a,country_b,same_country,n_coop_partners,coop_partners,n_adversaries,adversaries
Dhak-Duhre group,Hells Angels Motorcycle Club,,United States,,1,['United Nations (gang)'],2,"['Alkhalil family', 'Independent Soldiers']"
Cártel de Colima,Los Ciclones,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],2,"['Juárez Cartel', 'Tijuana Cartel']"
Cártel Independiente de Sonora,Los Mexicles,Mexico,Mexico,True,1,['Artistas Asesinos'],2,"['Juárez Cartel', 'La Línea']"
Los Chapitos,Los Ciclones,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],2,"['Cártel del Noreste', 'Tijuana Cartel']"
Los Mexicles,Los Negros,Mexico,Mexico,True,2,"['Mexican Mafia', 'Sinaloa Cartel']",1,['Gulf Cartel']
Alfieri clan,Clan Mazzarella,Italy,Italy,True,1,['Nuova Famiglia'],2,"['Clan Licciardi', 'Nuova Camorra Organizzata']"
Alfieri clan,Sicilian Mafia,Italy,Italy,True,2,"['Corleonesi', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Dubois brothers,Rizzuto crime family,Canada,Canada,True,2,"['Popeye Moto Club', 'Rock Machine Motorcycle Club']",1,['Cotroni crime family']
Cártel de Santa Rosa de Lima,Milenio Cartel,Mexico,Mexico,True,2,"['Cárteles Unidos', 'Sinaloa Cartel']",1,['Los Zetas']
Bloods,Hells Angels Motorcycle Club,United States,United States,True,2,"['American Mafia', 'Gambino crime family']",1,['Mexican Mafia']
Almighty Saints,Spanish Gangster Disciples,United States,United States,True,1,['Latin Kings'],2,"['Latin Kings', 'Maniac Latin Disciples']"
Barrio Azteca,Texas Syndicate,United States,United States,True,1,['Los Zetas'],2,"['Mexican Mafia', 'Puro Tango Blast']"
Knights Templar Cartel,Latin Kings,Mexico,United States,False,2,"['Gulf Cartel', 'Sinaloa Cartel']",1,['Mara Salvatrucha']
Beltrán-Leyva Organization,Latin Kings,Mexico,United States,False,2,"['18th Street Gang', 'Sinaloa Cartel']",1,['Mara Salvatrucha']
Los Caparrapos,Los Rastrojos,Colombia,Colombia,True,2,"['National Liberation Army (Colombia)', 'Oficina de Envigado']",1,['Clan del Golfo']
Sinaloa Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,1,['Gulf Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
Inzerillo Mafia clan,Sicilian Mafia,Italy,Italy,True,2,"['Gambino crime family', 'Greco Mafia clan']",1,['Corleonesi']
Mara Salvatrucha,Texas Syndicate,United States,United States,True,2,"['Gulf Cartel', 'Los Zetas']",1,['Mexican Mafia']
Almighty Gaylords Nation,Mickey Cobras,United States,United States,True,2,"['Almighty Vice Lord Nation', 'People Nation']",1,['Maniac Latin Disciples']
American Mafia,Clan dei Casalesi,United States,Italy,False,2,"[""'Ndrangheta"", 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Black Army,Rock Machine Motorcycle Club,,Canada,,1,['Black Jackets'],2,"['Bandidos Motorcycle Club', 'Hells Angels Motorcycle Club']"
Al-Qaeda,Harakat Hezbollah al-Nujaba,Saudi Arabia,,,1,['Houthis'],2,"['Al-Nusra Front', 'Islamic State']"
Martinez Familia Sangeros,Oficina de Envigado,Puerto Rico,Colombia,False,2,"['American Mafia', 'Los Pepes']",1,['Cartel de Medellín']
Grupo Flechas,Gulf Cartel,Mexico,Mexico,True,2,"['Cártel de Santa Rosa de Lima', 'Los Zetas']",1,['Cártel de Jalisco Nueva Generación']
Tijuana Cartel,Zetas Vieja Escuela,Mexico,Mexico,True,1,['Gulf Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
Cártel de Santa Rosa de Lima,Mexican Mafia,Mexico,United States,False,2,"['Gulf Cartel', 'Sinaloa Cartel']",1,['Los Zetas']
Ejército Revolucionario Popular Antisubversivo de Colombia,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,2,"['Los Rastrojos', 'Popular Liberation Army']",1,['National Liberation Army (Colombia)']
La Nueva Familia Michoacana,Los Negros,Mexico,Mexico,True,1,['Sinaloa Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'La Familia Michoacana']"
Clan dei Casalesi,Contini clan,Italy,Italy,True,2,"['Mallardo clan', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Cártel de Santa Rosa de Lima,Cártel de Tepalcatepec,Mexico,Mexico,True,2,"['Cárteles Unidos', 'Los Viagras']",1,['Cártel de Jalisco Nueva Generación']
Bandidos Motorcycle Club,Indian Posse,United States,Canada,False,1,['Hells Angels Motorcycle Club'],2,"['Hells Angels Motorcycle Club', 'White Boy Posse']"
Contini clan,Vollaro clan,Italy,Italy,True,1,['Nuova Famiglia'],2,"['Clan Mazzarella', 'Nuova Camorra Organizzata']"
Bonanno crime family,Musitano crime family,United States,Canada,False,2,"['Cuntrera-Caruana Mafia clan', 'Rizzuto crime family']",1,['Buffalo crime family']
Commisso 'ndrina,Musitano crime family,Italy,Canada,False,2,"[""'Ndrina Ruga"", 'Hells Angels Motorcycle Club']",1,['Independent Soldiers']
La Familia Michoacana,Los Chapitos,Mexico,Mexico,True,2,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel']",1,['Cártel del Noreste']
Mickey Cobras,Native Mob,United States,United States,True,2,"['Almighty Vice Lord Nation', 'People Nation']",1,['Black Gangster Disciples Nation']
DeCavalcante crime family,Genovese crime family New Jersey faction,United States,United States,True,2,"['Lucchese crime family', 'Lucchese crime family New Jersey faction']",1,['Gambino crime family']
'Ndrina Giuliano,Clan Gionta,Italy,Italy,True,2,"['Clan Nuvoletta', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
D.C. Blacks,Norteños,United States,United States,True,1,['Black Guerrilla Family'],2,"['Aryan Brotherhood', 'Nazi Lowriders']"
Cártel de los Rojos,Milenio Cartel,Mexico,Mexico,True,1,['Los Zetas'],2,"['Gulf Cartel', 'La Familia Michoacana']"
Beltrán-Leyva Organization,La Empresa,Mexico,Colombia,False,2,"['Barrio Azteca', 'La Línea']",1,['Sinaloa Cartel']
Camorra,Clan Gionta,Italy,Italy,True,2,"['Corleonesi', 'Società foggiana']",1,['Nuova Camorra Organizzata']
Los Negros,Playboys (gang),Mexico,United States,False,2,"['Mara Salvatrucha', 'Mexican Mafia']",1,['18th Street Gang']
Los Negros,Tren de Aragua,Mexico,Venezuela,False,1,['Mara Salvatrucha'],2,"['18th Street Gang', 'Sinaloa Cartel']"
Iron Horsemen Motorcycle Club,Mongols MC,United States,United States,True,1,['Hells Angels Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']"
Four Corner Hustlers,Native Mob,United States,United States,True,2,"['Almighty Vice Lord Nation', 'People Nation']",1,['Black Gangster Disciples Nation']
Cártel de Caborca,Los Ciclones,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],2,"['Cártel del Noreste', 'Sinaloa Cartel']"
Ejército Revolucionario Popular Antisubversivo de Colombia,Tren de Aragua,Colombia,Venezuela,False,1,['Clan del Golfo'],2,"['Clan del Golfo', 'National Liberation Army (Colombia)']"
Cártel de Santa Rosa de Lima,Mara Salvatrucha,Mexico,United States,False,2,"['Gulf Cartel', 'Sinaloa Cartel']",1,['Los Zetas']
Al-Qaeda in the Arabian Peninsula,Taliban,Yemen,Afghanistan,False,2,"['Al-Shabaab', 'Lashkar-e-Taiba']",1,['Islamic State']
Longsight Street Soldiers,Pit Bull Crew,,,,1,['Gooch Close Gang'],2,"['Doddington gang', 'Longsight Crew']"
Clan dei Casalesi,Nuova camorra pugliese,Italy,Italy,True,2,"[""'Ndrangheta"", 'Nuova Camorra Organizzata']",1,['Nuova Camorra Organizzata']
'Ndrina Mammoliti,'Ndrina Serraino,Italy,Italy,True,2,"[""'Ndrina Piromalli"", 'Basilischi']",1,"[""'Ndrina De Stefano""]"
Cártel de Santa Rosa de Lima,Nueva Plaza Cartel,Mexico,Mexico,True,2,"['Grupo Flechas', 'Sinaloa Cartel']",1,['Cártel de Jalisco Nueva Generación']
La Línea,Los Mazatlecos,Mexico,Mexico,True,1,['Los Zetas'],2,"['Los Ántrax', 'Sinaloa Cartel']"
18th Street Gang,Milenio Cartel,United States,Mexico,False,1,['La Familia Michoacana'],2,"['Gulf Cartel', 'Los Zetas']"
AK81,Bandidos Motorcycle Club,Denmark,United States,False,1,['Hells Angels Motorcycle Club'],2,"['Black Cobra', 'Loyal to Familia']"
Clan De Luca Bossa,Contini clan,Italy,Italy,True,2,"['Rinaldi clan', 'Secondigliano Alliance']",1,['Clan Mazzarella']
Al-Nusra Front,Grey Wolves,Syria,Turkey,False,1,['Turkistan Islamic Party'],2,"['Islamic State', ""Kurdistan Workers' Party""]"
Manitoba Warriors,Satan's Choice Motorcycle Club,Canada,Canada,True,2,"['Hells Angels Motorcycle Club', 'Los Bravos MC']",1,['Hells Angels Motorcycle Club']
Genovese crime family,Philadelphia Greek Mob,United States,United States,True,2,"['K&A Gang', 'Philadelphia crime family']",1,['Philadelphia crime family']
Armenian Power,Los Negros,United States,Mexico,False,1,['Mexican Mafia'],2,"['18th Street Gang', 'Mara Salvatrucha']"
Popular Liberation Army,Tren de Aragua,Colombia,Venezuela,False,1,['Cártel de Jalisco Nueva Generación'],2,"['Clan del Golfo', 'National Liberation Army (Colombia)']"
Bandidos Motorcycle Club,Dark Circle,United States,,,1,['Rock Machine Motorcycle Club'],2,"['Hells Angels Motorcycle Club', 'Rockers Motor Club']"
Cártel de Jalisco Nueva Generación,Los Chone Killers,Mexico,Ecuador,False,2,"['Los Lobos', 'Los Tiguerones']",1,['Los Choneros']
Latin Kings,Oficina de Envigado,United States,Colombia,False,2,"['American Mafia', 'Sinaloa Cartel']",1,['Tren de Aragua']
Bloods,Mongols MC,United States,United States,True,2,"['Norteños', 'Nuestra Familia']",1,['Mexican Mafia']
Big Circle Gang,Latin Kings,China,United States,False,2,"['American Mafia', 'Ñetas']",1,['Crips']
Camorra clan Zaza,Clan Galasso di Poggiomarino,,Italy,,2,"['Clan dei Casalesi', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Colombo crime family,Rudaj Organization,United States,United States,True,1,['Gambino crime family'],2,"['Gambino crime family', 'Lucchese crime family']"
Al-Qaeda,Grey Wolves,Saudi Arabia,Turkey,False,1,['Turkistan Islamic Party'],2,"['Islamic State', ""Kurdistan Workers' Party""]"
Galloping Goose Motorcycle Club,Loners Motorcycle Club,United States,Canada,False,1,['Hells Angels Motorcycle Club'],2,"['Outlaws Motorcycle Club', 'Vagos Motorcycle Club']"
Oficina de Envigado,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,2,"['Los Rastrojos', 'Sinaloa Cartel']",1,['Cartel de Medellín']
Pagan's Motorcycle Club,Warlocks MC,United States,,,1,['Philadelphia crime family'],2,"['Breed Motorcycle Club', 'Outlaws Motorcycle Club']"
Bonanno crime family,Genovese crime family New Jersey faction,United States,United States,True,2,"['Lucchese crime family', 'Lucchese crime family New Jersey faction']",1,['Gambino crime family']
Diablos Motorcycle Club,Iron Horsemen Motorcycle Club,United States,United States,True,2,"['Hells Angels Motorcycle Club', 'Sons of Silence']",1,['Outlaws Motorcycle Club']
Fuerza Anti-Unión,Guerreros Unidos,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],2,"['La Familia Michoacana', 'Sinaloa Cartel']"
Devil's Disciples Motorcycle Club (Canada),West End Gang,Canada,Canada,True,2,"['Rock Machine Motorcycle Club', ""Satan's Choice Motorcycle Club""]",1,['Dubois brothers']
Clan Russo dei Quartieri Spagnoli,Clan Sarno,Italy,Italy,True,2,"['Clan Mazzarella', 'Clan Misso']",1,['Clan Fabbrocino']
'Ndrina Barbaro,'Ndrina Piromalli,Italy,Italy,True,2,"[""'Ndrina Mancuso"", ""'Ndrina Serraino""]",1,"[""'Ndrina Mammoliti""]"
18th Street Gang,Los Rojos,United States,Mexico,False,1,['Mexican Mafia'],2,"['Los Negros', 'Mara Salvatrucha']"
Diablos Motorcycle Club,Para-Dice Riders,United States,,,2,"['Hells Angels Motorcycle Club', ""Satan's Choice Motorcycle Club""]",1,['Hells Angels Motorcycle Club']
Houthis,Wagner Group,Yemen,Russia,False,2,"['Hamas', 'Islamic Revolutionary Guard Corps']",1,['Islamic State']
People Nation,Trinitarios,United States,United States,True,1,['Bloods'],2,"['Black Gangster Disciples Nation', 'Crips']"
'Ndrina Fontana,'Ndrina Lo Giudice,,Italy,,2,"[""'Ndrina Condello"", ""'Ndrina Imerti""]",1,"[""'Ndrina Barreca""]"
Sinaloa Cartel,Temple Street gang,Mexico,United States,False,2,"['Mara Salvatrucha', 'Mexican Mafia']",1,['18th Street Gang']
19th of April Movement,Revolutionary Armed Forces of Colombia,Colombia,Colombia,True,1,['Popular Liberation Army'],2,"['Cartel de Medellín', 'Muerte a Secuestradores']"
Aryan Brotherhood of Texas,Mexikanemi,United States,United States,True,2,"['Gulf Cartel', 'Mexican Mafia']",1,['Texas Syndicate']
Gypsy Joker Motorcycle Club,Tribesmen Motorcycle Club,United States,New Zealand,False,1,['Rebels Motorcycle Club'],2,"['Hells Angels Motorcycle Club', 'Mongrel Mob']"
Cártel del Noreste,Zetas Vieja Escuela,Mexico,Mexico,True,1,['Gulf Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Los Ciclones']"
Manitoba Warriors,United Nations (gang),Canada,Canada,True,1,['Hells Angels Motorcycle Club'],2,"['Hells Angels Motorcycle Club', 'Redd Alert']"
Aprea-Cuccaro clan,Contini clan,Italy,Italy,True,2,"['Rinaldi clan', 'Secondigliano Alliance']",1,['Clan Mazzarella']
'Ndrina Procopio-Lentini,Novella,,,,2,"[""'Ndrina Sia"", ""'Ndrina Vallelunga""]",1,"[""'Ndrina Gallace""]"
Kurdistan Workers' Party,Palestinian Islamic Jihad,Turkey,Palestine,False,2,"['Democratic Front for the Liberation of Palestine', 'Popular Front for the Liberation of Palestine']",1,['Islamic State']
Clan Licciardi,Clan Misso,Italy,Italy,True,1,"[""'Ndrina Giuliano""]",2,"[""'Ndrina Giuliano"", 'Lo Russo clan']"
Artistas Asesinos,Knights Templar Cartel,Mexico,Mexico,True,1,['Sinaloa Cartel'],2,"['Cártel de Jalisco Nueva Generación', 'Juárez Cartel']"
Alfieri clan,Clan Lubrano-Ligato,Italy,Italy,True,2,"['Clan Nuvoletta', 'Corleonesi']",1,['Clan dei Casalesi']
Logan Heights Gang,Nazi Lowriders,United States,United States,True,1,['Mexican Mafia'],2,"['Mara Salvatrucha', 'Norteños']"
Black Gangster Disciples Nation,Harrison Gents,United States,,,1,['Simon City Royals'],2,"['Latin Eagles', 'Taylor Street Jousters']"
La Línea,Los Ciclones,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],2,"['Cártel del Noreste', 'Sinaloa Cartel']"
Bloods,Lucchese crime family,United States,United States,True,2,"['Gambino crime family', 'United Blood Nation']",1,['Bonanno crime family']
Camorra,Nuova Famiglia,Italy,Italy,True,2,"['American Mafia', 'Sicilian Mafia']",1,['Nuova Camorra Organizzata']
Hells Angels Motorcycle Club,Wild Ones,United States,,,1,['Musitano crime family'],2,"['Outlaws Motorcycle Club', ""Satan's Choice Motorcycle Club""]"
Camorra clan Zaza,Vollaro clan,,Italy,,2,"[""'Ndrina Giuliano"", 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Cártel del Noreste,South Pacific Cartel,Mexico,Mexico,True,1,['Los Mazatlecos'],2,"['Gulf Cartel', 'Sinaloa Cartel']"
Alfieri clan,Camorra,Italy,Italy,True,2,"['Clan Cappello', 'Corleonesi']",1,['Nuova Camorra Organizzata']
Chiapas–Guatemala Cartel,Cártel de Caborca,Mexico,Mexico,True,1,['Cártel de Jalisco Nueva Generación'],2,"['La Mayiza', 'Sinaloa Cartel']"
Indian Posse,Satan's Choice Motorcycle Club,Canada,Canada,True,2,"['Hells Angels Motorcycle Club', 'West End Gang']",1,['Hells Angels Motorcycle Club']
Cartel de La Guajira,Oficina de Envigado,Colombia,Colombia,True,1,['Autodefensas Unidas de Colombia'],2,"['Clan del Golfo', 'Tren de Aragua']"
Iron Horsemen Motorcycle Club,Red Devils Motorcycle Club,United States,Sweden,False,1,['Hells Angels Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']"
United Nations (gang),White Boy Posse,Canada,Canada,True,1,['Hells Angels Motorcycle Club'],2,"['Independent Soldiers', 'Redd Alert']"
Clan Fabbrocino,Clan Gionta,Italy,Italy,True,2,"['Clan Nuvoletta', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Houthis,Taliban,Yemen,Afghanistan,False,2,"['Al-Qaeda', 'Al-Shabaab']",1,['Islamic State']
Los Talibanes,Los Viagras,Mexico,Mexico,True,2,"['Cártel de Jalisco Nueva Generación', 'Sinaloa Cartel']",1,['Cártel de Jalisco Nueva Generación']
Genovese crime family,Rizzuto crime family,United States,Canada,False,2,"['Bonanno crime family', 'Hells Angels Motorcycle Club']",1,['Bonanno crime family']
'Ndrina Imerti,'Ndrina Piromalli,Italy,Italy,True,2,"[""'Ndrina Alvaro"", ""'Ndrina Serraino""]",1,"[""'Ndrina De Stefano""]"
Crips,Tren de Aragua,United States,Venezuela,False,1,['American Mafia'],2,"['18th Street Gang', 'Latin Kings']"
Asian Boyz,Mara Salvatrucha,United States,United States,True,1,['Big Circle Gang'],2,"['Bloods', 'Tiny Rascal Gang']"
Los Zetas,Nueva Plaza Cartel,Mexico,Mexico,True,2,"['Grupo Flechas', 'Sinaloa Cartel']",1,['Cártel de Jalisco Nueva Generación']
American Guards,True Blue Americans,,,,2,"['Atlantic Guards', 'Bowery Boys']",1,['Dead Rabbits']
Amigos dos Amigos,Primeiro Comando da Capital,Brazil,Brazil,True,1,['Bonde dos 40'],2,"['Comando Vermelho', 'Primeiro Grupo Catarinense']"
Los Lobos,Mara Salvatrucha,Ecuador,United States,False,2,"['Cártel de Jalisco Nueva Generación', 'Tren de Aragua']",1,['Latin Kings']
14K,Independent Soldiers,China,Canada,False,2,"['Hells Angels Motorcycle Club', 'Sinaloa Cartel']",1,['Luppino crime family']
Bandidos Motorcycle Club,Independent Soldiers,United States,Canada,False,1,['Hells Angels Motorcycle Club'],2,"['Hells Angels Motorcycle Club', 'White Boy Posse']"
Cárteles Unidos,Los Rojos,Mexico,Mexico,True,1,['Sinaloa Cartel'],2,"['Beltrán-Leyva Organization', 'Cártel de Jalisco Nueva Generación']"
Culver City Boys,Playboys (gang),United States,United States,True,1,['Mexican Mafia'],2,"['18th Street Gang', 'Venice Shoreline Crips']"
Black Guerrilla Family,Mongols MC,United States,United States,True,2,"['Norteños', 'Nuestra Familia']",1,['Mexican Mafia']
Desperados Motorcycle Club,Warlocks Motorcycle Club (Florida),,United States,,1,['Hells Angels Motorcycle Club'],2,"['Outlaws Motorcycle Club', ""Pagan's Motorcycle Club""]"
'Ndrina Lo Giudice,'Ndrina Saraceno,Italy,,,2,"[""'Ndrina Condello"", ""'Ndrina Imerti""]",1,"[""'Ndrina Barreca""]"
Ambrose,Harrison Gents,,,,1,['Simon City Royals'],2,"['Maniac Latin Disciples', 'Spanish Gangster Disciples']"
18th Street Gang,Cárteles Unidos,United States,Mexico,False,1,['La Familia Michoacana'],2,"['Gulf Cartel', 'Los Zetas']"
Hezbollah,Kurdistan Workers' Party,Lebanon,Turkey,False,1,['Popular Front for the Liberation of Palestine'],2,"['Al-Nusra Front', 'Islamic State']"
Al-Qaeda in the Arabian Peninsula,Boko Haram,Yemen,Nigeria,False,2,"['Al-Qaeda in the Islamic Maghreb', 'Al-Shabaab']",1,['Islamic State']
Mongols MC,Red Devils Motorcycle Club,United States,Sweden,False,1,['Hells Angels Motorcycle Club'],2,"['Bandidos Motorcycle Club', 'Outlaws Motorcycle Club']"
Cártel de Tláhuac,Tijuana Cartel,Mexico,Mexico,True,2,"['Cártel de Jalisco Nueva Generación', 'La Familia Michoacana']",1,['Sinaloa Cartel']
Cártel de los Rojos,Los Mazatlecos,Mexico,Mexico,True,1,['Los Zetas'],2,"['Cártel de Jalisco Nueva Generación', 'Gulf Cartel']"
Clan Gionta,Vollaro clan,Italy,Italy,True,2,"['Clan Nuvoletta', 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
'Ndrina Costa,'Ndrina Mancuso,Italy,Italy,True,2,"[""'Ndrina Mazzaferro"", ""'Ndrina Piromalli""]",1,"[""Commisso 'ndrina""]"
Artistas Asesinos,Mexican Mafia,Mexico,United States,False,2,"['Los Mexicles', 'Sinaloa Cartel']",1,['Barrio Azteca']
Crips,Latin Eagles,United States,United States,True,1,['Black Gangster Disciples Nation'],2,"['Latin Kings', 'People Nation']"
Gulf Cartel,Playboys (gang),Mexico,United States,False,2,"['Mara Salvatrucha', 'Mexican Mafia']",1,['18th Street Gang']
National Liberation Army (Colombia),Peasant Self-Defenders of Córdoba and Urabá,Colombia,Colombia,True,1,['Cartel de Medellín'],2,"['Popular Liberation Army', 'Revolutionary Armed Forces of Colombia']"
Al-Qaeda,Tahrir al-Sham,Saudi Arabia,,,1,['Taliban'],2,"['Al-Nusra Front', 'Islamic State']"
10th & Oregon Crew,Hells Angels Motorcycle Club,United States,United States,True,1,['American Mafia'],2,"[""Pagan's Motorcycle Club"", 'Philadelphia crime family']"
Loners Motorcycle Club,Manitoba Warriors,Canada,Canada,True,2,"['Hells Angels Motorcycle Club', 'Rock Machine Motorcycle Club']",1,['Hells Angels Motorcycle Club']
American Mafia,Clan Mazzarella,United States,Italy,False,2,"[""'Ndrangheta"", 'Nuova Famiglia']",1,['Nuova Camorra Organizzata']
Cártel de Caborca,Guadalajara Cartel,Mexico,Mexico,True,2,"['Juárez Cartel', 'Tijuana Cartel']",1,['Gulf Cartel']
Los Zetas,Vineland Boys,Mexico,United States,False,1,['Sinaloa Cartel'],2,"['18th Street Gang', 'Mexican Mafia']"
Independent Cartel of Acapulco,Tijuana Cartel,Mexico,Mexico,True,2,"['Beltrán-Leyva Organization', 'Guerreros Unidos']",1,['Sinaloa Cartel']
Mara Salvatrucha,OVS,United States,United States,True,1,['Mexican Mafia'],2,"['Bloods', 'Crips']"
Okaida,Sindicato do Crime do Rio Grande do Norte,,Brazil,,1,['Bonde dos 40'],2,"['Comando Vermelho', 'Primeiro Comando da Capital']"
Artistas Asesinos,Los Rojos,Mexico,Mexico,True,2,"['Los Mexicles', 'Sinaloa Cartel']",1,['Cártel de Jalisco Nueva Generación']
